serie,periodos_previstos,modelo,valores_previstos,MAE,RMSE
Produto,41,LSTM,"[189.3573374594603, 149.34823545642612, 148.4158671950236, 174.44695420925015, 180.07432858489764, 164.31063158444385, 129.67098532433153, 130.15344532301359, 157.13608249955877, 163.53017925390142, 148.71621628398688, 115.33369905217661, 115.84709228423618, 142.4785835026231, 170.6022936071261, 161.3172036141798, 128.02310946153943, 132.22212628822768, 160.97575044353454, 168.66599018288673, 153.27748018091998, 117.36479255276839, 119.10181955205952, 146.1432603324063, 152.87803104497874, 137.0463323504929, 101.66961727463949, 102.96048113903424, 129.53708442097275, 136.19312899452052, 120.66693866923202, 89.81639242860993, 88.03090557386057, 113.6708994043142, 120.07001249552093, 104.81615821980512, 84.34860716471506, 88.792796700619, 111.08701670666868, 114.71747946090025, 97.43139758452969]",95.32,117.96
País,48,LSTM,"[19838.857241642218, 20181.142822894755, 13612.768866263428, 15900.327042596631, 17681.697875048532, 17440.500498163834, 17949.476367364496, 11778.568263612377, 14463.599531806545, 16609.30384311438, 16927.103994911, 17777.424519344946, 11816.490725578262, 14068.793141302538, 16267.4974885361, 16795.871913533283, 17961.755859526154, 12268.145146461402, 14028.193596868136, 16093.770941830968, 18169.870119998854, 19979.431450782995, 14234.998374121473, 17270.359811726514, 19581.167657339603, 20271.8085696026, 21364.23031747951, 15431.625063853744, 17889.00270877199, 20025.28178665314, 20392.1135684069, 21452.41670152574, 15523.242044109493, 17822.67043618737, 19814.59794436443, 20563.348201883247, 21506.039080438935, 15044.6469995262, 16986.517972274534, 19429.38628233516, 20072.542517848702, 20689.08253276534, 14190.27451928602, 16181.01533055605, 17315.45756040972, 16041.31942430079, 15258.983549071863, 7520.770396369223]",4096.8,5298.72
Cliente,67,LSTM,"[591.6460547860447, 717.1005017768438, 718.7846555295057, 687.9889409517021, 687.6062301823005, 229.00810209800835, 454.4647748068557, 587.4985045194538, 667.6103246036588, 657.9232419176388, 612.098663446768, 671.0684002758569, 253.45808560140878, 456.949522037485, 583.6758657264496, 654.0429166200416, 684.5245133598493, 646.5893616604584, 625.1042513848971, 211.10529568548736, 436.76653273003717, 576.467955362362, 722.5946888370476, 734.5716397604517, 700.4444034776117, 712.8268168878801, 268.0461851756762, 448.7021713308328, 567.6784064742232, 712.8723599005859, 480.580958277415, 403.60160568987004, 469.4499075972347, 0.0, 166.45657387539995, 281.03384406973595, 383.8716893764587, 402.74992920231574, 356.60058043815644, 438.8786985074824, 0.0, 127.80004382929225, 217.14845984571306, 362.4132239626604, 362.6074314147509, 333.3434674525733, 409.38519067342224, 0.0, 111.62668446069203, 220.9124673493548, 345.7505803758413, 336.6653552815519, 325.74277408280625, 439.04996443486027, 0.0, 110.0944686876334, 225.9546349506739, 320.33578193048953, 374.3360272901346, 332.32424232396534, 339.19814338889967, 0.0, 66.41884523274925, 165.32059228781097, 240.60782671773993, 207.14374549866747, 46.92388803014278]",394.62,556.97
Produto,41,TCN,"[199.23290382864155, 150.10005916088227, 162.54493736418536, 172.13708851771486, 167.8252807943701, 183.91597061855887, 146.35000382464332, 162.32078998483348, 169.68495202150802, 168.0486134823369, 179.37675537027312, 144.7766752973706, 163.74485333522298, 163.01543793928985, 154.76351157134224, 170.6886987057106, 136.58641127016395, 157.70061325119886, 164.17403620058298, 159.00332759125092, 173.74399047323078, 134.84976553674588, 149.39133027486116, 158.92335290877534, 153.97370244042224, 168.63752682595208, 134.12616985090958, 149.49582035964673, 152.02566714920417, 151.7645155110591, 167.70707056052018, 137.04033891392163, 144.8002441698885, 140.13373864657999, 146.53794016724098, 171.98246546723067, 125.42122686243123, 133.0450463533263, 127.28166123171441, 113.7420570924428, 162.70254844739537]",97.29,122.07
País,48,TCN,"[18985.28317651666, 20357.073248566172, 16203.851001884073, 17759.551775270746, 19628.50958682582, 19501.58171991031, 19370.723251353298, 14551.995391013228, 17040.430424792947, 18700.30084749005, 18894.97952175429, 19105.487271339694, 14457.734992259355, 16473.543985919216, 17999.321061107574, 18345.043529749182, 19061.988239186503, 14811.196177012458, 16415.981171127678, 17340.244593310897, 22200.76659503761, 22864.319108850115, 18074.07511605304, 20648.388327350607, 21930.748075707797, 23136.538385608506, 23236.255351273452, 18676.58664624369, 20091.090680702673, 21806.80160403383, 22204.196985394425, 22672.117780669218, 18474.331540457755, 20245.1731196513, 21322.407151912477, 22536.109898302508, 22519.642791697297, 17084.188277645804, 18996.887988259914, 21296.74548895554, 21918.231998866635, 21157.472646973383, 17091.63021191123, 18891.036245526928, 20206.233313003213, 19613.603068302342, 19917.831946001766, 14905.115821579504]",3704.56,4712.2
Cliente,67,TCN,"[768.3361551986363, 678.8879800230002, 749.6524559022546, 704.8636347999333, 657.3867632949784, 280.20069953456186, 550.479990017699, 670.2211886113361, 719.6494190915312, 730.9316649315684, 732.7169957835343, 620.3138943742279, 308.704714030066, 513.3013756948984, 703.9582471092089, 714.1393456087296, 682.1389624348335, 721.5110678622834, 565.1992058134371, 304.8835230923156, 521.3643532697013, 615.8962879496328, 630.1582855775423, 628.7444287393348, 668.7627447510508, 524.2356993746095, 315.94419254490583, 476.74823578163756, 538.3251212773522, 579.9892495032781, 602.5072255403562, 594.5611140575845, 362.35326112457733, 119.70154930117751, 408.4392313271684, 488.32123167223585, 542.1781639530669, 526.9346700153494, 555.3778095296336, 414.10559664713037, 125.81379437639698, 348.32494499822513, 428.586433399505, 428.193015250882, 464.4528127566737, 456.451719065882, 370.5955279617414, 103.07217409131098, 323.929836777689, 407.8026020272294, 405.0441383599374, 418.99406684840994, 407.33898828757657, 317.059610560171, 89.47280979123774, 263.19494169170264, 318.3829627967906, 390.44565295537285, 300.0214035933959, 374.39738645473426, 226.6773202529847, 0.0, 0.0, 136.01433089079944, 207.80069838929856, 321.7043980714577, 102.1021716883955]",475.44,665.59
