Metrica,Referencia,Outro_Modelo,Media_sMAPE_Ref,Media_sMAPE_Outro,Estatistica_W,P_Value,Diferenca_Significativa
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,mistralai/mistral-medium-3.5-128b,101.34977073803564,105.05050505050505,2241.5,0.39455395032229046,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,mistralai/mistral-medium-3.5-128b,101.34977073803564,105.05050505050505,2241.5,0.39455395032229046,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b,101.34977073803564,107.06590552576198,2241.0,0.39535204956295245,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,mistralai/mistral-medium-3.5-128b,101.34977073803564,107.11507293017293,2235.5,0.3860144078513913,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,SeasonalNaive,101.34977073803564,107.18540242241042,2142.0,0.22961765168302106,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,mistralai/mistral-medium-3.5-128b,101.34977073803564,107.43465140677428,2341.0,0.633931272620426,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-397b-a17b,101.34977073803564,115.49803838773404,2204.0,0.33507492409947126,False
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,Prophet,101.34977073803564,135.81390492321398,1669.0,0.004648328470246505,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,AutoARIMA,101.34977073803564,147.89540886903725,1490.0,0.0005420988846999066,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,AutoETS,101.34977073803564,148.3043197992159,1497.0,0.0005937341462882493,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,XGBoost,101.34977073803564,168.11627432737671,1209.5,9.583611315619985e-06,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,CatBoost,101.34977073803564,173.40305582753254,1236.5,1.4911645642165923e-05,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,LSTM,101.34977073803564,175.5741414024201,1129.0,2.281159005466234e-06,True
sMAPE - Cliente,qwen/qwen3.5-397b-a17b,TCN,101.34977073803564,190.12517683603323,1014.0,2.887882372681343e-07,True
