serie,periodos_previstos,modelo,valores_previstos,MAE,RMSE
Produto,289,AutoARIMA,"[217.95300718206903, 214.46857285357248, 211.61475632503453, 209.27742750470043, 207.36311172450445, 205.79525149259086, 204.5111447990941, 203.45943753162248, 202.5980697168963, 201.89259345444748, 201.3147952730318, 200.84156781490526, 200.45398572425864, 200.13654878265618, 199.87656202288144, 199.6636280306468, 199.48923113024978, 199.3463968248911, 199.2294128719604, 199.13360083850722, 199.0551290009222, 198.99085910629583, 198.93822086712112, 198.89510917012012, 198.8597998883614, 198.83088092981774, 198.8071957648528, 198.7877971741819, 198.77190936759183, 198.75889695846757, 198.74823955335273, 198.73951094032668, 198.7323620438986, 198.7265069647483, 198.72171154601466, 198.71778400887285, 198.71456728289814, 198.71193272449096, 198.7097749721504, 198.70800773284742, 198.70656033098612, 198.70537488193878, 198.7044039771186, 198.7036087880112, 198.70295751334106, 198.70242410727195, 198.70198723777952, 198.70162943353904, 198.70133638521065, 198.70109637317876, 198.70089979886018, 198.7007388008368, 198.70060694046094, 198.70049894436045, 198.7004104935453, 198.70033805068243, 198.70027871863022, 198.70023012457585, 198.70019032514142, 198.70015772866435, 198.70013103154326, 198.70010916610454, 198.70009125790347, 198.70007659075372, 198.70006457808523, 198.7000547394863, 198.7000466814908, 198.7000400818426, 198.7000346766079, 198.70003024962017, 198.7000266238349, 198.70002365424932, 198.7000212221035, 198.7000192301308, 198.70001759866813, 198.70001626246983, 198.70001516809856, 198.70001427178818, 198.70001353769328, 198.7000129364559, 198.7000124440313, 198.7000120407264, 198.70001171041218, 198.70001143987866, 198.7000112183067, 198.70001103683518, 198.70001088820658, 198.70001076647702, 198.7000106667782, 198.70001058512304, 198.70001051824596, 198.70001046347238, 198.70001041861178, 198.70001038187013, 198.70001035177802, 198.70001032713202, 198.70001030694652, 198.70001029041418, 198.7000102768739, 198.70001026578416, 198.7000102567015, 198.70001024926262, 198.70001024317003, 198.70001023818008, 198.7000102340932, 198.700010230746, 198.70001022800454, 198.70001022575929, 198.70001022392034, 198.70001022241422, 198.70001022118066, 198.70001022017038, 198.70001021934291, 198.70001021866523, 198.7000102181102, 198.70001021765563, 198.7000102172833, 198.70001021697834, 198.70001021672857, 198.70001021652405, 198.70001021635653, 198.7000102162193, 198.70001021610693, 198.7000102160149, 198.70001021593953, 198.7000102158778, 198.7000102158272, 198.70001021578582, 198.7000102157519, 198.7000102157241, 198.70001021570135, 198.7000102156827, 198.70001021566748, 198.70001021565497, 198.70001021564474, 198.70001021563633, 198.70001021562945, 198.70001021562382, 198.70001021561922, 198.70001021561546, 198.7000102156124, 198.70001021560984, 198.7000102156078, 198.70001021560608, 198.70001021560472, 198.70001021560358, 198.70001021560262, 198.70001021560188, 198.70001021560125, 198.70001021560074, 198.70001021560034, 198.7000102156, 198.70001021559972, 198.7000102155995, 198.70001021559932, 198.70001021559915, 198.70001021559904, 198.70001021559892, 198.7000102155988, 198.70001021559875, 198.7000102155987, 198.70001021559864, 198.70001021559858, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852, 198.70001021559852]",97.82,120.8
Produto,289,AutoETS,"[248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557, 248.9011142698557]",125.32,146.55
País,290,AutoARIMA,"[17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586, 17678.348443348586]",6865.28,8313.52
País,290,AutoETS,"[17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653, 17697.182845103653]",6872.95,8319.82
