serie,periodos_previstos,modelo,valores_previstos,MAE,RMSE
Produto,41,XGBoost,"[205.82943725585938, 178.0882110595703, 184.3112030029297, 186.9086151123047, 192.0960235595703, 199.19761657714844, 177.4447479248047, 173.33615112304688, 173.4282989501953, 178.19358825683594, 184.32357788085938, 156.42828369140625, 157.54843139648438, 176.82655334472656, 188.95462036132812, 190.9621124267578, 175.1487579345703, 176.57891845703125, 185.80032348632812, 200.35055541992188, 214.57862854003906, 190.95164489746094, 182.7001190185547, 189.7714080810547, 201.14984130859375, 206.71238708496094, 181.6154327392578, 183.7081298828125, 185.51068115234375, 189.9274139404297, 201.27659606933594, 170.6925506591797, 160.23638916015625, 160.31333923339844, 167.72439575195312, 174.06553649902344, 149.8016815185547, 146.4355010986328, 148.8722381591797, 160.8921661376953, 175.6293487548828]",97.2,119.92
País,48,XGBoost,"[23350.34765625, 29820.1484375, 21600.189453125, 22964.9609375, 24265.34375, 20945.017578125, 23674.04296875, 21314.080078125, 21218.451171875, 22939.919921875, 21459.2734375, 23785.251953125, 20191.20703125, 20558.728515625, 21392.15234375, 21608.369140625, 28796.736328125, 20182.947265625, 20564.3671875, 24725.490234375, 22667.12109375, 24957.8125, 21058.81640625, 22735.900390625, 30368.703125, 28477.978515625, 32174.28125, 21327.48046875, 27275.54296875, 29386.15234375, 28486.513671875, 32226.109375, 25993.841796875, 25897.462890625, 31673.3828125, 28703.3359375, 29167.708984375, 19566.724609375, 26684.697265625, 30896.44140625, 25344.498046875, 30032.349609375, 25402.67578125, 27160.92578125, 29676.03515625, 27734.501953125, 31597.330078125, 6243.4365234375]",2276.79,2945.49
Cliente,67,XGBoost,"[16.68895721435547, 16.68895721435547, 16.68895721435547, 474.4441833496094, 928.0084838867188, 16.68895721435547, 16.68895721435547, 1309.720703125, 1257.491943359375, 1646.731201171875, 16.68895721435547, 16.68895721435547, 16.68895721435547, 16.68895721435547, 1825.9012451171875, 543.9468994140625, 1254.408203125, 1650.454833984375, 725.3237915039062, 16.68895721435547, 16.68895721435547, 361.1610107421875, 16.68895721435547, 16.68895721435547, 16.68895721435547, 16.68895721435547, 16.68895721435547, 382.1199645996094, 766.914794921875, 1560.88623046875, 16.68895721435547, 16.68895721435547, 16.68895721435547, 16.68895721435547, 16.68895721435547, 782.126953125, 16.68895721435547, 520.4736938476562, 845.7252197265625, 1215.2401123046875, 16.68895721435547, 1154.9332275390625, 528.4901123046875, 933.2890014648438, 428.716552734375, 1230.8094482421875, 906.6619873046875, 16.68895721435547, 738.5951538085938, 975.4817504882812, 1386.178466796875, 231.42352294921875, 277.14813232421875, 217.1089324951172, 16.68895721435547, 425.307373046875, 1665.76318359375, 16.68895721435547, 629.2936401367188, 864.6743774414062, 16.68895721435547, 16.68895721435547, 833.1659545898438, 538.1504516601562, 16.68895721435547, 2681.043212890625, 1272.97021484375]",93.29,218.07
Produto,41,CatBoost,"[182.96686205955876, 150.26106712490994, 163.36867616593534, 166.77890574307133, 172.67597445512442, 182.64791032908616, 149.63675188267297, 163.08337541523713, 166.49360499237312, 170.88224320696577, 181.40349893097266, 147.31251519514151, 159.68032866812214, 166.83868873564577, 174.30362285650256, 184.03981087595736, 148.00348745579265, 163.91385747677217, 168.13331391146565, 175.5982480323224, 186.0185343993572, 149.95971272074814, 163.4926977739838, 167.71215420867728, 175.17708832953406, 184.94164851274599, 149.48910326113293, 163.13776060515406, 167.52891174586344, 175.68626998435627, 188.03358182242562, 148.8033244203771, 161.37766947076744, 165.05583862706294, 172.2536549430229, 166.77730882314017, 137.09186834331035, 149.5763736138363, 148.33915814153426, 152.9193215903334, 164.5663613463612]",94.2,117.33
País,48,CatBoost,"[24586.114293822007, 28904.471689058788, 21895.41173816852, 24317.414559298228, 22601.038515571698, 21171.177888186023, 22715.428411763143, 19265.560637393817, 22183.916738225293, 22746.02043272162, 21701.931438873893, 23274.34747566811, 16869.298048065342, 21187.370541255896, 22621.33370556075, 22777.135915947772, 28548.063087738214, 19428.441759781872, 18172.544336946958, 25304.03567579305, 24115.686097645295, 25869.621605407858, 22002.141968623724, 24071.267611650546, 28604.262420639116, 27230.46301102959, 30942.800174552456, 21386.74272107186, 26194.854811004843, 27620.180496476594, 26807.218576967207, 30666.4211686781, 24086.388294535485, 25752.947151687527, 29501.84823769432, 27293.019655913806, 28983.403147192017, 20875.479046213204, 26182.780829511023, 28467.76152900319, 24946.7484782631, 30964.731379637677, 24332.793078506795, 27779.438881626702, 28270.572550719284, 26183.333815040063, 30566.931518438025, 8600.406118862953]",2339.87,3046.38
Cliente,67,CatBoost,"[46.131866349864026, 42.55730609197411, 22.590251389816046, 526.1646941309441, 1082.5330515640776, 10.09235133631654, 9.198618163072695, 1378.5336547655843, 1256.9854356470898, 1965.0450639432522, 45.46062678083257, 30.66328028696853, 9.258113181153135, 8.474138668061357, 2151.1530437369893, 625.2429699253245, 1241.5946287608904, 2024.4588135337556, 769.5064305989794, 7.502882712673141, 6.6849802486594, 310.93783340915525, 39.640102333430434, 19.789496704512032, 43.834204554659976, 29.453536440281766, 8.574600615948299, 455.45150496401413, 735.1616792777841, 1620.8877402948283, 49.393230104206026, 78.49306250573363, 64.0894649370338, 38.20023627771522, 38.112359899279085, 660.6195396645464, 65.06756278575719, 454.327343839239, 821.342814593368, 1196.0696718007189, 35.27212809275474, 1105.5345129294983, 535.6160777857647, 954.6079735685647, 374.9704568166104, 1108.0889043550696, 864.2210752433868, 27.74727052314097, 720.2458909174422, 962.6964142120755, 1217.4192869309604, 158.31285811086153, 237.69815246907007, 111.77575658532592, 27.46979661005537, 408.0157841459578, 1657.9571874616365, 55.26539045378155, 545.5990939801382, 801.0564406868405, 40.3524575515365, 20.22100192820659, 697.7896489842464, 376.5203421603777, 46.98505833948329, 2307.4973327076145, 1230.7984125992934]",99.23,237.82
